Month-Year,Original Sales,Smoothed Sales
2003-01-01,141,140.50051284982206
2003-02-01,157,158.2229505325114
2003-03-01,185,186.4739382266075
2003-04-01,199,197.16141356457058
2003-05-01,203,203.2656565989273
2003-06-01,189,186.501786355809
2003-07-01,207,206.3853504821799
2003-08-01,207,205.9050028052432
2003-09-01,171,168.543523200522
2003-10-01,150,148.4492384109428
2003-11-01,138,139.4479793945135
2003-12-01,165,171.23408948834097
2004-01-01,145,156.89645634122405
2004-02-01,168,171.29902320125035
2004-03-01,197,201.14929216316273
2004-04-01,208,213.90626905444532
2004-05-01,210,216.74171761856385
2004-06-01,209,198.6774782395519
2004-07-01,238,221.15625983823716
2004-08-01,238,225.88572386746085
2004-09-01,199,188.60725935122463
2004-10-01,168,167.78964379037802
2004-11-01,152,155.34355252953026
2004-12-01,196,187.3026714441211
2005-01-01,183,172.04862684785604
2005-02-01,200,202.5792102773233
2005-03-01,249,238.17395208800477
2005-04-01,251,257.4190125815005
2005-05-01,289,260.5265410649845
2005-06-01,249,261.0347741136561
2005-07-01,279,285.6935830960094
2005-08-01,279,279.6557676957534
2005-09-01,232,229.7439711043658
2005-10-01,204,195.6769761174417
2005-11-01,194,181.10849580805714
2005-12-01,232,233.30200973369537
2006-01-01,215,212.91999203872646
2006-02-01,239,236.41759002979964
2006-03-01,270,289.2038463685782
2006-04-01,279,290.3472629100983
2006-05-01,307,314.95069582326084
2006-06-01,305,278.03914141849936
2006-07-01,322,322.0071911822599
2006-08-01,339,321.29321093496964
2006-09-01,263,270.4435787808848
2006-10-01,241,231.8747571663112
2006-11-01,229,217.77574064576743
2006-12-01,272,267.31460490522807
2007-01-01,247,247.81928322237457
2007-02-01,261,274.24492897520673
2007-03-01,330,315.17704919405486
2007-04-01,362,332.8865378603423
2007-05-01,385,378.2629151176174
2007-06-01,340,361.94979526422816
2007-07-01,370,378.8579933686157
2007-08-01,381,386.93844351516435
2007-09-01,299,304.41893230721263
2007-10-01,266,271.7834458394917
2007-11-01,239,252.24626844351477
2007-12-01,281,294.32757423127254
2008-01-01,257,264.5309170791
2008-02-01,250,283.1190316750069
2008-03-01,329,335.95243857820424
2008-04-01,350,355.256639024816
2008-05-01,393,376.75251858054554
2008-06-01,370,347.4298413839729
2008-07-01,423,386.1286573562773
2008-08-01,410,410.7164391983595
2008-09-01,326,324.0291507958401
2008-10-01,289,290.8466097081399
2008-11-01,270,266.36571410912023
2008-12-01,321,318.5406595966148
2009-01-01,305,293.8337215528326
2009-02-01,310,304.72484569264776
2009-03-01,374,398.87475361071864
2009-04-01,414,417.76595496087714
2009-05-01,454,458.40183069667853
2009-06-01,441,420.9616384131506
2009-07-01,510,473.1112479364331
2009-08-01,486,474.648686697636
2009-09-01,393,379.07795525585277
2009-10-01,345,341.0588767818647
2009-11-01,315,317.611635407673
2009-12-01,389,376.0413617259877
2010-01-01,358,355.63820297060636
2010-02-01,368,361.1544439808813
2010-03-01,444,452.0027511290238
2010-04-01,482,494.9347557726564
2010-05-01,534,540.037874432667
2010-06-01,524,511.7109803772426
2010-07-01,578,580.493730769136
2010-08-01,567,551.4974725862411
2010-09-01,447,444.14872227543003
2010-10-01,386,390.44308501208883
2010-11-01,360,357.064854139761
2010-12-01,428,435.12933263226313
2011-01-01,397,398.95565176383974
2011-02-01,400,406.49567512920936
2011-03-01,498,493.06959967298644
2011-04-01,536,541.9096144885015
2011-05-01,596,599.1446289954382
2011-06-01,591,580.074638513011
2011-07-01,651,646.6944385175608
2011-08-01,654,627.7119879298758
2011-09-01,509,501.55307167872286
2011-10-01,437,437.6378950413499
2011-11-01,406,405.89758759343107
2011-12-01,470,486.64102402938767
2012-01-01,428,446.6252506014496
2012-02-01,423,447.113409457506
2012-03-01,507,543.8902817736415
2012-04-01,536,576.7221227381424
2012-05-01,610,627.9204712792031
2012-06-01,609,611.7779729421896
2012-07-01,687,672.5916651366008
2012-08-01,707,668.7316944724199
2012-09-01,509,528.8443608903467
2012-10-01,452,449.9463080506432
2012-11-01,412,418.4865058848101
2012-12-01,472,489.64547416160957
2013-01-01,454,447.19436599098134
2013-02-01,455,452.39384185994146
2013-03-01,568,556.0441374445261
2013-04-01,610,605.121393286359
2013-05-01,706,691.7106955809437
2013-06-01,661,693.5650657323089
2013-07-01,767,763.5847457191577
2013-08-01,783,770.2975867193111
2013-09-01,583,570.6449918819211
2013-10-01,513,506.3716081933161
2013-11-01,481,466.8856775928517
2013-12-01,567,547.5231284602545
2014-01-01,525,526.1880508984392
2014-02-01,520,526.6757071234424
2014-03-01,587,649.3669090429427
2014-04-01,710,676.2858902750838
2014-05-01,793,788.4596015008086
2014-06-01,749,757.424125512764
2014-07-01,871,868.217828617859
2014-08-01,848,881.4084025785425
2014-09-01,640,643.9637890414207
2014-10-01,581,563.8978539686856
2014-11-01,519,527.6620625146186
2014-12-01,605,611.8253652050331
